0 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
20 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
353,3333 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
413,1405 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
429,5992 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
442,0656 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
455,3349 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
469,1566 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
502,6199 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
517,241 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
532,0446 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
544,5637 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
557,5956 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
572,5536 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
587,5269 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
601,6129 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
616,1339 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
629,4156 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
690,9404 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
708,4671 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
721,2407 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
735,0612 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
746,9658 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
759,8915 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
774,0059 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
788,2529 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
825,452 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
840,0579 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
853,5848 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
862,4765 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
873,2012 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
881,1827 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
890,981 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
899,1718 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
909,3615 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
928,6429 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
939,1312 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
970,8137 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
980,9193 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
991,6978 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1000,152 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1009,377 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1017,173 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1025,902 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1034,899 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1043,933 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1053,223 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1061,287 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
